std;10;8%
seeker;9;7.2%
in;6;4.8%
universal;6;4.8%
end;5;4%
filestring;5;4%
const;4;3.2%
i;4;3.2%
long;4;3.2%
return;4;3.2%
string;4;3.2%
begin;3;2.4%
myline;3;2.4%
partoftotal;3;2.4%
start;3;2.4%
close;2;1.6%
convtowords;2;1.6%
curword;2;1.6%
iterator;2;1.6%
kindofword;2;1.6%
myfile;2;1.6%
mymap;2;1.6%
open;2;1.6%
result;2;1.6%
sregex;2;1.6%
total;2;1.6%
0;1;0.8%
9a;1;0.8%
auto;1;0.8%
distance;1;0.8%
eof;1;0.8%
error;1;0.8%
file;1;0.8%
for;1;0.8%
found;1;0.8%
getamount;1;0.8%
getline;1;0.8%
getwords;1;0.8%
h;1;0.8%
if;1;0.8%
include;1;0.8%
int;1;0.8%
is;1;0.8%
map;1;0.8%
not;1;0.8%
ok;1;0.8%
readfile;1;0.8%
regex;1;0.8%
smatch;1;0.8%
str;1;0.8%
tolower;1;0.8%
transform;1;0.8%
void;1;0.8%
while;1;0.8%
z;1;0.8%
za;1;0.8%
